label,question,answer
0,A floresta nacional de Carajas é em que estado sul-americano,Pára.Brasil
0,Qual porcentagem da superfície do Brasil é a Caatinga,10%
0,Quando faça um.Os machos Brasiliensis tendem a ser canibalistas,entre as estações de acasalamento
0,Qual é a maior causa da mortalidade em artesão amazônicas,Caçando
0,O Pirahã são um povo indígena do qual país sul-americano,Brasil
0,Quando o rio Abacaxis começou a fluir através do Amazonas?,2016
0,onde estão as florestas costeiras da Bahia localizadas em um mapa,Oriental Brasil.
0,onde está falado tupiano no Brasil,a bacia amazônica
0,"Qual é o nome da maior floresta tropical do mundo, lar a maior",floresta amazônica
0,Qual porcentagem do Pantanal é submersa durante a estação chuvosa,80%
0,Por que os peruanos não consideraram os judeus amazônicos judeus?,suas mães não eram judeus
0,A rodovia interoceânica conecta o Peru com que outro país,Brasil
0,Qual é o nome da arte indígena em Roraima,forró.
1,Qual cidade é servida pela Ilha Paqueta,Rio de Janeiro
0,Que tipo de florestas são encontradas no Cerrado,galeria
0,"""Quem escreveu"" ""Mar da morte"" e """" romances bahianos """"? """,Jorge Amado.
0,Imigrantes libaneses ocupam qual porcentagem do parlamento brasileiro assenta em 2014,10%
0,Quanto dinheiro tem o Banco Mundial dado à conservação da Mata Atlântica?,US $ 44 milhões
0,Quem joga no Amazon Theatre em Manaus,a orquestra filarmônica de Amazonas
1,Quais são as ilhas no Delta do Paraná?,Islas del Paraná.
1,Bahia Blanca é cercada pelo corpo de água,o Oceano Atlântico
0,De onde começou o boom de borracha na bacia amazônica?,Brasil
0,Onde os Phylomys são encontrados no mundo,Florestas do Oriente Brasil
0,onde está quente nas montanhas amazônicas,as terras baixas
0,Qual é a única maneira de estudar a floresta amazônica,sensoriamento remoto
0,onde o açafrão Toucanet vive na natureza,Mata Atlântica
1,Ilha Grande é um dos remanescentes mais ricos do que,Floresta Atlântica do Brasil
0,Quantos pássaros e mamíferos vivem na floresta amazônica,2.000.
0,Onde a maioria dos mamíferos vive no cerrado,Florestas da Galeria
0,O papagaio amazon é nomeado após o qual o guardião do pássaro brasileiro,Nelson Kawall.
0,Quem matou os Amazonas em Robin o filme,Amazo
0,Quando o guitarfish brasileiro retorna à prateleira continental interior?,novembro
0,quanto de sua ascendência que os povos indígenas brasileiros herdar de um terceiro migrante,décimo
0,Quando foi a primeira vez que a mangala fossa foi formada em Marte,Hesperian e épocas amazônicas
0,Qual foi o nome da operação ribeirinha em que seis marinhas brasileiras blindadas,Passagem da Humaitá.
0,Quem administra a montanha de Sugarloaf no Rio de Janeiro,Secretaria ambiental municipal
0,Qual foi o nome do fã que jogou o fogo de artifício no goleiro brasileiro,Rosenery mello do nascimento
0,Quem fez o futebolista brasileiro Thiago Alcantara jogou pela última temporada,Bayern de Munique
0,O rio são Francisco é o mais longo rio em que país,Brasil
1,Fernando de Noronha é administrado por qual estado,Pernambuco.
1,A ilha da Ilha da Queimada Grande está fora da costa da qual,Brasil
0,O Rikbaktsa é um povo indígena de qual região do Brasil,Mato Grosso.
0,Quem realizou pesquisa em 2008 na diáspora libanesa no Brasil,IBGE.
0,A floresta amazônica é usada para crescer quais culturas,soja
0,Qual foi a primeira reserva da biosfera no Brasil?,A Reserva da Biosfera da Mata Atlântica
1,Qual é o nome da melhor praia do Brasil?,Porto de Galinhas
0,Quem William Cooley tentou condenar,Assassinos do chefe Alibama
0,Onde vive o Largetooh serra para o Brasil?,Estuário da Amazon
0,Quem está investigando a causa do fogo na estação antártica Ferraz,Marinha brasileira
0,Quantas usinas hidrelétricas do Duke Energy opera no Brasil,oito
0,onde horróis e tesus lutam contra as amazonas,Mar de Euxine.
1,Quando as ilhas de Alcatrazes foram descobertas pela primeira vez,2011
0,O monjolo é uma máquina hidráulica usada no processamento de grãos em que país,Brasil
0,Qual é a maior cidade da floresta amazônica,Manaus.
0,Quanto tempo leva para a árvore de fogo brasileira crescer 30 metros de altura,cinco anos
0,O Parque Nacional de Itatiaia está localizado em que a cordilheira,Montanhas de Mantiqueira
0,onde é a língua Muran falada no Brasil,Amazonas.
0,Qual é o nome do prato amazônico?,ManiÇOBA.
0,onde está localizada a floresta atlântica,Brasil
0,Qual é a porcentagem ideal da produção brasileira de grãos,120%
0,Qual estado tem o clima mais quente no Brasil,Recife.
0,O próximo modelo do Top Modelo Brasil 2 fotógrafo,Fabricio Maia.
0,quando o manatee amazônico foi extinto no Peru,1986
0,O Parque Nacional do Mapinari cobre uma grande área de qual floresta tropical,floresta amazônica
0,quão longe é Mole Beach de Florianópolis Brasil,960 metros
0,Quem fundou a empresa brasileira de cosméticos Natura em 1969,Luiz Seabra.
0,Que supercontinente foi formado quando Báltica e Amazônia colidiram com Laure,Rodinia.
0,Qual é o movimento do vapor de água através da floresta amazônica,Rio voador
0,Qual é uma das preocupações decorrentes do desmatamento no Brasil,efeito global produz em mudança climática
0,que planeta as mulheres da amazônica no clima acontecem,Amazônia
0,Onde as abelhas vivem na América do Sul,Florestas do Brasil
0,onde estavam os brasileiros concederam terra e assentos,Conselho da fazenda
0,Onde as plantas Portea pertencem a,a costa atlântica do Brasil
1,A ilha de Itamaracá é em que país,Brasil
0,De onde a maioria das pessoas do pobre nordeste do Brasil migra para,a área da Amazônia
0,Em que ano a crise energética brasileira ocorreu,1979
0,Qual país tem mais insetos do que qualquer país do mundo,Brasil
0,Qual rio faz parte da fronteira ocidental da Guiana com o Brasil,Rio de Ireng
1,Brasil e Argentina afirmam quais ilhas,Ilhas Falkland
1,Onde a Marinha Brasileira assumiu o controle de Monte Santiago?,Placa do rio.
1,O pavão Britânico Sloop Hms foi encontrado da costa da qual,Brasil
0,Quem foi o ministro do Canadá do Meio Ambiente durante o protesto do Brasil,Peter Kent.
0,Qual é a principal cultura agrícola na floresta amazônica,soja
0,O que é uma maneira que a floresta amazônica foi moldada,jardinagem florestal
0,Que tipo de arte é iniquitos ingênuos selvagens,Pop art do Amazonian
0,O Centro Olímpico de Treinamento é em que país,Brasil
0,Quando é a estação seca no Rio de Janeiro?,Junho a setembro
0,Onde estão as espécies mais ameaçadas do Brasil,Mata Atlântica
0,Qual estrada atravessa o rio Pastaza no Equador,A rodovia da Amazonas Troncal
1,Qual é o nome da única ilha do Brasil que tem residentes permanentes,Fernando de Noronha
0,Qual foi o nome de Duke Eddy em Wonder Woman Amazonia,Clarence
0,"Qual é a capital do Equador, a floresta amazônica",Tena
0,Quando foi o trem corcovado eletrificado no Brasil,1910
0,Quando Gaspar de Carvajal primeiro explorar a selva amazônica?,1540
0,Qual é a língua oficial da Amazonas?,português
0,Onde fica o sistema Rio Doce Lake classificado no Brasil,terceiro maior
0,Onde o Brasil está no mundo em espécies ameaçadas de extinção,oitavo maior
0,Quantas espécies de insetos existem no Brasil?,mais de 70.000.
0,Em que mês o rio Sergipe flui pelo Brasil,agosto
0,Quem foram os primeiros índios a vir ao Brasil,Marinheiros indianos ou lascars
0,Qual é o nome do carvão usado pelos amazônios?,biochar
0,A falta de abastecimento de água no Brasil é causada por,Poluição da água
0,A Barragem Itaipu no Brasil é em que rio,Rio de Paraná
0,Qual é a coca mais comum eritroxylum cultivada na Amazônia?,E. Coca.
0,Quando a temporada 2 da próxima premiere do modelo de topo do Brasil,4 de setembro de 2008
0,Qual é o nome do período amazonal inicial e médio em Marte,A Amazônia
0,Quantos biomas existem no Brasil?,Um bioma marinho
0,Que tipo de animais estão em Santa Catarina Juquila?,iguana.
0,"No antigo estado de Kichwas amazônicas, como as plantas foram tratadas",Amantes ou filhos distantes
0,Qual é a base da política ambiental no Brasil,conhecimento científico
0,"A capital do Brasil é Gramado, em que rio",Rio Grande do Sul
0,a grande escarpa corre ao longo da costa leste do Brasil. qual cidade é,Salvador
0,Quantos sedimentos o rio Paraná carrega?,160 milhões de toneladas
0,onde você pode comprar o Bahia esmeralda,ebay.
0,Que tipo de árvores estão na Reserva Mogi Guacu,cerrado
0,Listra de mostarda amarela na bandeira nacional do departamento de Amazonas,8 cm
0,Quantas plantas foram descobertas na Mata Atlântica entre 1990 e 2006,mais de mil.
1,O que o tambor brasileiro de tubos marinhos e o Corpo de Bugle substituem,bugis
0,Os Yawalapiti são uma tribo indígena de qual país,Brasil
0,Quem faz a armadura do corpo para o Corpo Marinho Brasileiro,Eagle Industries Maritime Ciras
0,Quando foi estabelecido o Ministério do Meio Ambiente no Brasil,1985
1,O Monkey Callithrix é encontrado fora da costa de qual país,Brasil
1,Que baía é ilha fiscal no Brasil,Baía de Guanabara
0,Qual é a principal ameaça à floresta amazônica,Desmatamento
0,Qual é o nome do mundo da Jaguar em Pantanal,Pantanal.
0,Quanto tempo levará para a floresta amazônica ser completamente destruída?,cerca de 100 anos
0,Quantos europeus Jan van Ryen encontrou na selva amazônica?,três
0,Qual foi o nome da Baía de Plettenberg,Bahia Formosa.
1,Brasil é uma ilha mítica em que oceano,oceano Atlântico
0,Qual é o nome da estrada internacional que conecta o Peru e o Brasil?,Rodovia interoceânica
1,Qual é o nome da baía que separa o Rio de Janeiro de sua,Baía de Guanabara
0,Onde ocorre o clima semi-árido no Rio de Janeiro,Arraial do Cabo.
0,"Qual é o nome da região brasileira que inclui Palmas, TOC",cerrado
0,Rivera é a capital de qual cidade brasileira,Santana do Livramento.
0,O maior ave encontrado no Brasil é o,Rhea.
0,Em qual cidade é a praia chamada Ipanema,Rio de Janeiro
1,Que baía é o Rio de Janeiro em,Baía de Guanabara
0,que estava envolvido no tumulto no Amazonas,Comando Vermelho.
0,Quem ilustre mulher maravilha: Amazônia,Phil Winslade.
0,Onde está o Waimiri Atroari localizado no Brasil,Amazonas.
0,Maverick Rock é o ponto mais alto em qual montanha,Monte Roraima.
1,Em qual cidade foi a Conferência das Nações Unidas em 1992 sobre Meio Ambiente e Desenvolvimento,Rio de Janeiro
1,Qual é o nome do acampamento de caça e pesca na Bahia de Kino,Kino Bay Club
0,O mehinaku são um povo indígena em que país sul-americano,Brasil
0,onde é através do arco do conjunto de floresta tropical,Brasil
0,Maracanã é um rio localizado em que país,Brasil
0,Quando a nova Amazônia foi publicada pela primeira vez,1889
0,Quando o pássaro da amazônica foi descrito pela primeira vez,1858
0,onde é a temporada de futebol de 2017 Campeonato Brasileiro,Brasil
0,Qual cidade no Brasil proibiu a criação de animais em 2014,são Paulo
0,Qual é o nome da floresta tropical na América do Sul,floresta amazônica
0,Quem é a rainha dos Amazônios no Olímpico,Hippolyta.
0,Que tipo de TRULL é Margaret de Anjou,Amazônia
0,quem faz marco pigossi jogar em uma falsa falsa,José Ribamar do Carmo
0,Qual é a principal causa de degradação ambiental na floresta amazônica,desmatamento
0,Quantos finalistas existem no Brasil próximo modelo de primeira temporada 3,13
0,quão longe é o Antshrike preto-cinzento do rio Tocantins,cerca de 3500 km.
0,Cerradão é uma floresta seca encontrada em que país,Brasil
0,Quem é responsável por identificar os estágios de crescimento da floresta amazônica,Tatiana Kuplich
0,Quando Aratus Pisonii se reproduz no Brasil,a estação chuvosa
0,Por que o uso de recursos florestais no Brasil,Falta de financiamento do governo
0,onde é o viaduto de Swithland em Leicestershire,Ilha Brasil
0,Onde a doença cítrica tristeza é originária?,Brasil
0,Quem gerencia a reserva biológica de Guaribas no Brasil,Chico Mendes Institute for Biodiversity Conservation
0,Que tipo de música o brasileiro tubos marinhos tambor e corpes de bugle,música de campo.
0,quanta energia eólica é o Brasil capaz de gerar,143 GW.
0,A doença paracoccidioides Brasiliensis é mais comumente conhecida como,Paracoccidioidomicose.
0,convecção granular do qual o animal faz com que ele suba para o topo das nozes mistas,castanha-do-pará
1,O arquipélago de Pernambuco inclui qual ilha,Fernando de Noronha
0,"Qual prato amazônico é feito com pedaços de carne, salsicha, manioc",ManiÇOBA.
1,Em que estado do Brasil é o National Marine Fernando de Noronha,Pernambuco.
0,o animal foi utilizado como um método de tortura no Brasil,ratos
0,O Parque Amazônia de Guiana faz parte do qual organização européia,a União Europeia
0,As árvores do Parque Nacional de Jamanxim são importantes para a conservação do que,Biodiversidade amazônica
0,Qual foi a principal exportação da bacia amazônica?,borracha
0,Quem criou a Liga do Acampamento,Angela Brasil.
0,Spondylidinae pertence a qual gênero da Amazon Rainforest,Migdolus.
0,Quais pessoas indígenas colhidas brazilwood no século XVI,Tupi.
0,Qual é a pluviosidade mínudima no Brasil para a produção de etanol,600 mm.
0,quem faz o suporte da indústria de embalagens brasileiras,organizações ambientais
0,O Parque Estadual da Caverna do Diabo protege qual floresta,Mata Atlântica
0,Qual é a cor do manatee amazônico?,cinza
0,As misiones Orientais é em que rio,Rio Grande do Sul
0,Quanto dinheiro fez o banco de desenvolvimento nacional brasileiro investir em bem-estar e direitos dos animais,"US $ 2,65 bilhões"
0,Quantos projetos de metrô e trem há no Brasil,6
0,Quem é o fotógrafo para a próxima temporada do modelo do Brasil,Fabricio Maia.
0,Quantas pessoas vivem em Caatinga no Brasil,26 milhões
0,Quando a praia foi revoltada no Brasil?,1849
0,Quando foi a última vez que o Amazonas filarmônico jogou em Manaus,2011
0,Qual foi a maior montanha da expedição El Dorado?,Monte Roraima.
0,O Suyá são indígenas em que país,Brasil
0,são Paulo de Olivença está localizado em que estado do Brasil,Amazonas.
1,O Brasil criticou as Nações Unidas por não agir sobre a soberania de quais ilhas,Ilhas Falkland
0,Onde foi a empresa Vale River Valley estabelecida,"Itabira, Minas Gerais"
0,Onde é o parade brasileiro de tambor marinho e corps corps corps,Rio de Janeiro
0,Onde Tanya Turner foi na 4ª temporada?,Rio de Janeiro
0,Que porcentagem da floresta amazônica é usada para pasto de gado,91%
0,Que tipo de clima precisa hevea brasiliensis,tropical ou subtropical
0,Quem ficou na Amazonas como a melhor universidade do Brasil,Ministro da Educação
0,Quanto tempo dura a praia de Itacarezinho na Bahia,"3,5 km."
0,O Rio Grande Ascensão está fora da costa de,Brasil
0,De onde os brasileiros paravam pela primeira vez na Amazônia?,R.
0,Quem fez Nathaniel Brazill matou no Lago Worth Middle School,Barry Grunow.
0,o olho de fogo de backed franja é um pássaro nativo a qual país,Brasil
0,quão alto é Santa Catarina Juquila no nível do mar,1.462 metros
0,Quantas espécies de amazonas estão em leticia,123
0,Quem é o Kayapo e Caiapo,Povos Indígenas no Brasil
0,O Paraná é um estado localizado na costa sul de que país,Brasil
1,onde foi a primeira conferência de governança oceânica realizada,Rio de Janeiro
0,Onde está o bagre de Schwartz encontrado na América do Sul,Bacia do rio Purus no Brasil
0,A próxima segunda temporada do modelo do Brasil,Elle Brasil.
0,Qual foi a produção de energia eólica do Brasil em 2009,602 MW.
0,O Brasil é conhecido por suas políticas ambientalmente amigáveis em que campo,biocombustíveis
0,Mercado Libre é a subsidiária brasileira da qual empresa Ebay,ibazar como.
1,onde foi a Conferência das Nações Unidas sobre Meio Ambiente e Desenvolvimento realizado em junho de 1992,Rio de Janeiro
0,onde está a reserva da Biosfera da Mata Atlântica localizada,Brasil
0,O cão de pastor de Mantiqueira é nativo a qual país,Brasil
0,Quantos sítios arqueológicos foram encontrados no Delta do Rio Tocantins,mais que 20
0,em que ilha sul-americana é a árvore zanthoxylum rhoifol,Cerrado
0,Oiapoque está localizado na costa norte de qual país,Brasil
1,A ilha de Fernando de Noronha enfrenta que oceano,oceano Atlântico
0,Quanto custa para proteger a biodiversidade no Brasil?,cerca de US $ 49 bilhões
0,O que os funcionários atuais da Amazon se chamam,Amazonas
0,Quanto do planeta está contido na floresta amazônica,mais da metade
0,Quando o Casco Cerrado mudou para o Tribunal de Casais,abril de 2005.
0,De onde veio a tribo de Yawalapiti?,Bacia Amazônica do Brasil
0,"De acordo com a lenda da Amazônia, que planta foi dada aos índios por",mandioca
0,Qual é a exigência de proprietários de terras na Amazônia brasileira?,80% das florestas como reservas legais
0,Quantos indígenas morreu no Brasil em 2007,800
0,onde é o homem vs monstro filmado na selva,a floresta amazônica
0,Qual país latino-americano tem a maior quantidade de florestas tropicais,Brasil
0,Há quanto tempo os animais no Museu de são Paulo,mais de 50 anos atrás
0,O Lago Pampulha está localizado em que país,Brasil
0,O que os amazônicos usaram para tornar sua terra adequada para a agricultura?,Terra Preta.
0,De onde veio os primeiros colonos da Amazonas?,português
0,Que raça é a mulher no mundo bizarro,Amazônia
0,onde o guaitaca usou dentes de tubarão,Costeiro Brasil.
0,Qual é o status da maioria das línguas amazônicas?,ameaçadas de extinção
0,onde o rio Xingu começa e termina,Norte do Brasil
0,Qual é o ponto mais alto da cordilheira Mantiqueira,PEDRA DA MINA.
0,Qual é o nome da savana da floresta no Brasil Central.,o cerrado
0,O rio Tapiche faz parte da fronteira entre o Peru e que outro país,Brasil
0,As árvores do Parque Nacional de Jamanxim são importantes para a conservação do que,Biodiversidade amazônica
0,Quem ganhou a temporada de Dolos Brasil 2010,Israel Lucero
0,Quando foi descoberto o recife da Amazon no Brasil?,abril de 2016.
0,Qual é o principal tipo de vegetação de floresta úmida de caatinga,Florestas semi-decíduas
0,Em que país sul-americano é o rio Dolphin Araguaia,Brasil
0,O Pirahã são um povo indígena da floresta amazônica em que país,Brasil
0,Quando a Suprema Corte brasileira sustenta uma proibição de crueldade animal,1997
1,onde está localizado ilha fiscal no Brasil,Baía de Guanabara
0,Quando a temporada de verão terminam na Bahia?,Março
0,Qual país da América do Sul é o único a permitir células-tronco embrionárias para pesquisa,Brasil
0,Qual é o nome da selva amazônica?,floresta amazônica
1,Território ultramariano português foi feito a que país em 1815,Brasil
0,Quem foi o ministro da energia brasileira durante a crise de gás boliviana,Silas Rondeau
0,Qual é o nome espanhol para o jogo das Amazonas,El Juego de Las Amazonas
0,Quando terminou o arco-íris aberto no Brasil,11 de novembro de 2012
0,Qual é o maior afluente do rio Paraná?,Rio Paraguai
0,a barragem de Tucuruí é em que rio,Rio Tocantins.
0,o que é a herança da mulher maravilha na mulher maravilha,Amazônia
0,"Na lenda amazônica, o que a mulher liderou a tribo para uma plantação",arbusto
0,Quando foi a floresta nacional da Amazonas estabelecida,1 de março de 1989.
0,O que Jürgen Haffer descobriu durante o período do pleistoceno?,Refúgia da floresta amazônica
0,Quantas unidades de energia o Brasil usa para produzir etanol,8.3.
0,Qual foi o nome do mega-grupo indígena que habitava muito do Noroeste do Brasil?,Caribs.
1,Qual empresa é responsável pelo derramamento de óleo na Baía de Guanabara no Brasil,Petrobras
0,Onde a busca do bibliotecário pela lança acontece,a floresta amazônica
1,Quanto tempo é a costa norte da Bahia,143
0,A Floresta Nacional da Amazonas tem o objetivo de,silvicultura sustentável
1,Qual é o nome do corpo marítimo brasileiro,Marinha brasileira
0,Em que país é a Floresta Nacional da Amazonas,Brasil
1,Bahia Adair Bay é rica em depósitos de,sais.
0,Qual é o nome da orquestra no Teatro Amazonas,Amazonas filarmônicas orquestra
0,Quando o kichwas amazônico foi protestado,1992
1,Mais longa praia do mundo no Brasil,Praia do Cassino.
0,Monte Pascoal é uma montanha em que estado sul-americano,"Bahia, Brasil"
0,Quando é o Festival de Cinema da Amazonas em Manaus,novembro
0,Qual aquífero está localizado na bacia do La Plata,Aquífero guarani.
0,Quantas espécies de Mimagoniates são ameaçados por Brasil,dois
0,Qual é o nome das correntes oceânicas da Argentina,Brasil atual
0,Quantas regiões naturais do Peru estão na floresta amazônica,oito
0,Como é o clima em Ceará,quente
0,o que significa o termo barrio cerrado,bairro fechado
0,Há quanto tempo Phil Torres está na floresta amazônica,dois anos
0,Capitão Pantoja e o serviço especial ocorre em que parte do peruano,Amazonas.
1,Quantas seções do litoral brasileiro João III dividiu o litoral em,quinze
0,Quem fez Alain Moussi treinar no Brasil,Carlos Machado
0,Qual é a principal causa da perda de biodiversidade no Brasil,desmatamento
0,Qual é o principal problema da biodiversidade no Brasil?,desmatamento
0,O Parque Nacional Descrobrimento é em que Bioma,Mata Atlântica
0,O Yaminawa é um povo indígena de qual país,Brasil
0,onde é o pássaro guan branco-crista encontrado,Brasil
0,Os wari são um povo indígena de qual país,Brasil
0,Onde fica o rio Doce localizado na América do Sul,Sudeste do Brasil
0,Quem dirige treinamento e operações no Brasil,Equipe geral do exército
0,que pesquisou a relação entre pesquisa do setor privado e público no Brasil,Ruben Sinisterra.
0,Onde é o maior concerto livre realizado no Rio de Janeiro,Praia de Copacabana
0,Em que país sul-americano é o rio Amazonas,Brasil
0,Quando ocorre a estação seca de inverno no Alto Paraná?,Abril a setembro
0,onde vive o nebly snateater no Brasil,Bacia do Amazonas
0,Quando o MasterChef Brasil temporada 3 começa,15 de março de 2016
0,O rio Vargem do Brao flui através do qual o estado,"Santa Catarina, Brasil"
0,Puerto Ayacucho é a capital de qual estado,Estado da Amazonas na Venezuela
0,Que percentagem de empresas sul-africanas conduzem pesquisas no Brasil,54%
0,Que animais são afetados pela ingestão de pimenta brasileira,aves
0,Quem propôs que a floresta amazônica era um refugia,Jürgen Haffer
0,que praticou uma escalada de violência em vários estágios discretos,O Yanomami do Amazonas
0,Qual rio faz parte da fronteira entre Amazonas e Guariba,O rio Roosevelt.
0,O Mantiqueira Shepherd é uma raça de cães originária em que país,Brasil
1,Quando foi construído pipa beach no Brasil,1626
1,Que tipo de lagarto é o corpo marinho brasileiro,lagarto da Marinha
0,Qual porcentagem do PIB do Brasil é produzida pelo rio Flying,aproximadamente 70%
1,O Sistema Sul do Cabo Atlântico destina-se a conectar qual arquipélio brasileiro,Fernando de Noronha
1,A Petrobras é a antiga subsidiária da qual a Brazilian Energy Corporation,Petróleo Brasileiro S.A.
0,Qual é o nome da vasta savana tropical do Brasil,Cerrado
0,Que tipo de clima é Belford Roxo Rio de Janeiro,tropical
0,Quando o brasão de armas da Amazonas adotou,2 de março de 1995
0,Quantos casos de doença de Haff existem no Brasil,67
0,Que tipo de floresta charles darwin amor quando ele visitou pela primeira vez o Brasil?,floresta tropical
0,O Pantanal é o maior pantanal tropical da América do Sul.quantos,12
1,Quantas ilhas compõem Bahia,56
0,De onde veio a rainha penthesilea?,Amazônia
0,Que tribo amazônica usou o atlatl como uma arma,o taririu.
0,Qual porcentagem do carvão do Brasil é demitida nas usinas,85%
0,Quem liderou a expedição portuguesa a Fernando de Noronha,G.
0,Onde o tanager turquesa vive no Brasil?,Mata Atlântica
0,é o rio Amazonas um rio brasileiro ou um rio guatemalino,B.
0,Qual é o nome da tribo Tenetehara no Amazonas?,The Tembé.
0,Que tipo de borboletas estão no Museu do Brasil de Zoologia,Lepidoptera.
0,onde está maytenus kukovii nativo para,a floresta amazônica
0,Quem fez bonecos de brite do arco-íris no Brasil,Estrella.
0,O rio Paraguai é a maior área úmida tropical do mundo.qual é,O pantanal
0,Qual a porcentagem da energia do Brasil é gerada pela biomassa,27%
0,Quando a Mata Atlântica começou a encolher,o pleistoceno.
0,Quem opera Missão La Bahia no Texas,Parques Texas e Departamento de Vida Selvagem
0,onde está a briga breasted found no Brasil,Bacia do Amazonas
0,O que a floresta amazônica tem,Biodiversidade incomparável
0,Qual é o nome do sistema que detecta o desmatamento no Brasil?,Determinar
0,onde foi a classe Amazonas Corvette ancorada no Brasil,Natal
1,Onde está a praia da Mole localizada no Brasil,Florianópolis.
0,Quantas espécies de peixes existem no ecossistema pantanal,400
0,quem canta vocais em um caso de amor brasileiro,Flora purim.
0,Quais são as três maravilhas naturais do Brasil?,Floresta amazônica
1,em que país sul-americano são as florestas costeiras de Pernambuco localizadas,Brasil
0,Quantos macacos amazônicos o embaixador sueco Margot Wallstrom se recusou a,Quatro.
0,que financiaram o programa de bombas atômicas do Brasil,A Comissão Nacional de Energia Nuclear
0,Quanta água o aquífero Guarani fornece por dia,9 litros
0,Quem construiu o transportador de minério Vale Rio de Janeiro,Daewoo Shipbuilding & Engenharia Marinha
0,Qual é o foco principal do governo da Amazonas?,Qualidade e produtividade
0,Em que cidade foi a Convenção-Quadro das Nações Unidas sobre Mudanças Climáticas assinadas em 1992,Rio de Janeiro
1,Quando a praia da bandeira azul mudou da Europa para o Brasil,2001
0,Quais são os nomes dos dois corredores no Brasil?,Corredor da Mata Atlântica Central
0,Que tipo de inseto é o morcego amazônico?,insetívoro
0,Montanha de Sugarloaf no Rio de Janeiro em que o corpo de,oceano Atlântico
0,"Quantos parques, reservas naturais e florestas nacionais estabeleceu desde 2004",Mais de 200.000 km
0,onde o Thunderbird 6 acontece na Índia,Rio de Janeiro
0,Quantas aves estão em um grupo brasileiro de cerceta,até vinte pássaros
1,A Bacia de Campos é uma das quais,12 bacias sedimentares costeiras do Brasil
0,Quem liderou o governo brasileiro a adotar biométricos baseados em impressão digital,Dr. Felix Pacheco.
0,O que é a tradução inglês de Bahia blanca,Baía branca
0,Que tipo de pimentão tem um broto rapidamente crescente após eventos de fogo?,Pimentas brasileiras
0,Onde estão os profissionais de saúde auditivos e auditivos treinados,Brasil
0,Qual porcentagem das plantas vasculares da Mata Atlântica são espécies endêmicas,40 por cento
0,Quem é responsável por gerenciar as necessidades energéticas do Brasil,Ministério de Minas e Energia
0,Qual é o principal motivo da taxa de reciclagem de alumínio extremo no Brasil,Custos de energia crescentes
1,Qual país é o dono do Royal Navy Naver HMS Ocean,Brasil
0,Qual porcentagem da população brasileira foi para o exterior em 2006,"3,90%"
1,A geologia do Brasil é afetada pela rifting de,o Oceano Atlântico
0,Babassu Palm é um exemplo de uma palma nativa da floresta amazônica,Speciosa de attalea.
0,que levantou preocupações sobre o combustível de etanol no Brasil,grupos ambientais
0,Quando foi a última vez que o Brasil teve uma população de espécies em extinção,2009
0,quantas áreas da Floresta Amazônica são protegidas por arpa,triplo
0,Quanto o Banco Nacional de Desenvolvimento Brasileiro investiu em Bem-Estar Animal e Direitos de,"US $ 2,65 bilhões"
0,O Brasil vem em segundo lugar em que país em termos de investimentos de energia limpa,China
0,O quilombola são indígenas dos quais o país sul-americano,Brasil
0,Que apelido de Dave Bassett deu ao gol marcado por Mike Lake contra,BENDE BRASILEIRO.
0,Quais são os nomes das filhas em Las Amazonas?,Isabel.
0,O que é liberado pelo desmatamento da floresta amazônica,gases de efeito estufa
0,Amazonas é um estado em que país sul-americano,Brasil
1,O que foi construído na ilha do Rio de Janeiro em 1555,Fort Coligny.
0,Em qual país é a segunda temporada de superstar,Brasil
0,onde é o pássaro de caienne jay encontrado no mundo,Brasil
0,Por que a arara do Spix é rara no Brasil?,desmatamento
0,Onde a busca do bibliotecário pela lança ocorreu,a floresta amazônica
0,Qual é a maior floresta da Bahia?,T.
0,Quais são as áreas secas na Mata Atlântica chamada hoje,caatingas.
1,em que país sul-americano é a Baía de Guanabara,Brasil
0,Qual rio é o maior rio da Bahia,Paraguaçu
0,Qual rio a barragem hidrelétrica na barragem de Tocantins,Rio Tocantins.
0,que viveu na ilha brasileira em 1964,José Jorge Daniel.
0,onde Maria Novaro ganhou o melhor prêmio de desempenho feminino,Festival de cinema Amazonas.
0,Qual é o nome científico para o roedor Cerradomys Scotti,Oryzomys de Lindbergh
0,Qual é o maior território indígena no Brasil?,Amazonas
0,Qual é a população do mawe na Amazonas?,cerca de 13.350.
0,A ferrovia bi-oceânica conecta o Brasil com que outro país,Peru
1,Qual ilha fora da costa do Brasil também é conhecida como Ilha da Queim,Ilha de cobra
0,De onde segue o presidente do Brasil depois do fogo do Beijo Nightclub,"Santiago, Chile"
0,O Rikbaktsa é um povo indígena do qual país sul-americano,Brasil
0,quem faz jimenez data em sai de baixo,Ribamar
0,O que significa a palavra sergipe em inglês?,rio do caranguejo
0,Qual cidade no Brasil tem mais montanhas de açúcar de granito,Rio de Janeiro
0,De onde se realizou o movimento da Amazônia Pop art?,Iquitos.
0,Quando o fluxo de lava se forma em Pavonis Mons,Idade amazônica cedo
0,Qual é o nome da estação de pesquisa brasileira,Estação Antártica Comandante Ferraz
1,onde fica a praia localizada em Santa Catarina,Florianópolis.
1,Qual é o nome da baía que separa Bahia e Salvador,Baía de todos os santos
0,Qual país tem o melhor monitoramento do mundo do desmatamento,Brasil
